Order_ID,Order_Date,Order_DateTime,Customer_ID,Restaurant_ID,City,Zone,Qty,Subtotal,Discount,Delivery_Fee,Order_Value,Payment_Method,Order_Channel,Order_Status,Delivery_Partner,Rider_ID,Distance_KM,Promised_Minutes,Delivery_Minutes,On_Time_Delivery,Customer_Rating,Cancellation_Reason
ORD01312,2026-01-27,2026-01-27 14:22:00,C0661,Restaurant_02,Panchkula,Sector 8,3,360,0.0,30,390,Credit Card,Website,Delivered,In-house Rider,RD006,6.1,50,25.0,True,3.0,
ORD01988,2026-04-16,2026-04-16 09:26:00,C0128,Restaurant_08,Panchkula,Sector 15,5,750,75.0,20,695,Credit Card,Restaurant App,Delivered,Ola Logistics,RD012,6.5,40,38.0,True,,
ORD03931,2026-05-12,2026-05-12 09:57:00,C0300,Restaurant_21,Mohali,Phase 5,3,750,30.0,60,780,Debit Card,Restaurant App,Failed,Not Assigned,Not Assigned,6.1,30,,,,Rider Unavailable
ORD02736,2026-04-06,2026-04-06 21:25:00,C0624,Restaurant_22,Panchkula,Sector 8,5,1250,0.0,60,1310,Credit Card,Restaurant App,Delivered,In-house Rider,RD128,4.0,40,27.0,True,5.0,
ORD03821,2026-06-16,2026-06-16 01:04:00,C1121,Restaurant_15,Panchkula,Sector 11,5,2000,0.0,25,2025,Wallet,Website,Delivered,In-house Rider,RD147,8.1,30,32.0,False,5.0,
ORD00412,2026-06-12,2026-06-12 01:02:00,C0936,Restaurant_21,Mohali,Phase 7,4,600,0.0,30,630,Wallet,Restaurant App,Delivered,Shadowfax,RD100,5.3,30,29.0,True,5.0,
ORD01195,2026-03-24,2026-03-24 07:24:00,C0250,Restaurant_16,Chandigarh,Sector 17,5,1750,20.0,50,1780,Debit Card,Restaurant App,Delivered,In-house Rider,RD031,8.2,35,47.0,False,5.0,
ORD00759,2026-06-20,2026-06-20 12:10:00,C0653,Restaurant_04,Panchkula,Sector 8,2,300,0.0,50,350,Debit Card,Website,Delivered,Shiprocket,RD071,5.3,35,28.0,True,4.0,
ORD03250,2026-01-28,2026-01-28 22:53:00,C0667,Restaurant_05,Panchkula,Sector 5,3,540,0.0,25,565,UPI,Website,Failed,Not Assigned,Not Assigned,2.8,40,,,,Customer Cancelled
ORD00322,2026-05-22,2026-05-22 06:31:00,C1121,Restaurant_14,Panchkula,Sector 15,1,400,,20,390,UPI,Restaurant App,Delivered,In-house Rider,RD091,,30,36.0,False,,
ORD00919,2026-02-11,2026-02-11 03:35:00,C0578,Restaurant_13,Chandigarh,Sector 17,3,660,50.0,20,630,Credit Card,Website,Delivered,In-house Rider,RD016,7.2,35,46.0,False,4.0,
ORD02072,2026-02-01,2026-02-01 01:58:00,C0780,Restaurant_05,Chandigarh,Sector 35,3,960,0.0,40,1000,Cash,Website,Failed,Not Assigned,Not Assigned,5.7,45,,,,Payment Failed
ORD01081,2026-02-10,2026-02-10 10:25:00,C0779,Restaurant_04,Mohali,Phase 3B2,3,1200,100.0,50,1150,UPI,Restaurant App,Delivered,Shadowfax,RD144,5.1,30,23.0,True,4.0,
ORD03567,2026-02-11,2026-02-11 10:11:00,C0417,Restaurant_05,Chandigarh,Sector 17,3,1200,0.0,30,1230,Wallet,Restaurant App,Cancelled,Not Assigned,Not Assigned,3.5,40,,,,Restaurant Delay
ORD00038,2026-05-05,2026-05-05 16:48:00,C0109,Restaurant_23,Chandigarh,Manimajra,3,840,75.0,60,825,Wallet,Restaurant App,Delivered,Shiprocket,RD087,3.3,35,29.0,True,4.0,
ORD03914,2026-04-10,2026-04-10 09:21:00,C1089,Restaurant_03,Chandigarh,Sector 22,1,180,50.0,50,180,UPI,Restaurant App,Delivered,In-house Rider,RD025,4.9,45,38.0,True,5.0,
ORD02430,2026-03-23,2026-03-23 01:11:00,C0507,Restaurant_17,Mohali,Phase 7,3,840,50.0,60,850,Cash,Restaurant App,Cancelled,Not Assigned,Not Assigned,5.5,35,,,,Rider Unavailable
ORD03249,2026-01-23,2026-01-23 10:40:00,C0471,Restaurant_07,Panchkula,Sector 15,2,700,,20,5000,Credit Card,Website,Delivered,Shiprocket,RD122,,35,22.0,True,,
ORD00959,2026-03-27,2026-03-27 21:27:00,C0269,Restaurant_07,Panchkula,Sector 15,4,1120,75.0,50,1095,Cash,Restaurant App,Delivered,In-house Rider,RD061,5.8,45,23.0,True,4.0,
ORD00968,2026-02-18,2026-02-18 20:12:00,C0094,Restaurant_06,Panchkula,Sector 11,1,250,0.0,50,300,Credit Card,Restaurant App,Delivered,Shadowfax,RD069,4.9,45,28.0,True,4.0,
ORD01880,2026-03-31,2026-03-31 05:24:00,C0961,Restaurant_05,Mohali,Phase 7,3,1050,0.0,25,1075,Cash,Restaurant App,Delivered,Shiprocket,RD126,7.0,35,50.0,False,5.0,
ORD03858,2026-05-30,2026-05-30 15:37:00,C0870,Restaurant_22,Chandigarh,Sector 22,4,1120,75.0,20,1065,Debit Card,Website,Delivered,In-house Rider,RD099,4.2,30,32.0,False,5.0,
ORD01520,2026-01-18,2026-01-18 22:40:00,C0681,Restaurant_17,Panchkula,Sector 15,3,1200,0.0,30,1230,UPI,Website,Delivered,In-house Rider,RD041,4.7,40,34.0,True,3.0,
ORD02705,2026-01-26,2026-01-26 04:50:00,C0669,Restaurant_23,Mohali,Phase 5,3,750,100.0,30,680,Wallet,Restaurant App,Delivered,In-house Rider,RD034,6.5,30,42.0,False,4.0,
ORD00058,2026-03-01,2026-03-01 15:14:00,C0111,Restaurant_08,Mohali,Phase 5,5,1400,100.0,60,1360,UPI,Website,Delivered,Ola Logistics,RD001,2.6,40,14.0,True,4.0,
ORD02397,2026-05-11,2026-05-11 00:19:00,C0249,Restaurant_21,Mohali,Sector 68,1,320,30.0,25,315,Credit Card,Website,Delivered,Shadowfax,RD065,3.0,45,25.0,True,4.0,
ORD03698,2026-04-04,2026-04-04 06:38:00,C0526,Restaurant_20,Chandigarh,Sector 34,1,120,0.0,60,180,Debit Card,Website,Delivered,In-house Rider,RD100,1.4,40,10.0,True,5.0,
ORD00034,2026-01-13,2026-01-13 13:51:00,C0179,Restaurant_02,Mohali,Sector 68,4,1120,0.0,60,1180,Credit Card,Restaurant App,Failed,Not Assigned,Not Assigned,5.3,45,,,,Customer Cancelled
ORD00837,2026-06-08,2026-06-08 06:19:00,C0763,Restaurant_13,Chandigarh,Manimajra,5,1750,75.0,60,1735,Debit Card,Website,Delivered,In-house Rider,RD014,3.2,50,21.0,True,5.0,
ORD00011,2026-03-11,2026-03-11 16:15:00,C0650,Restaurant_03,Chandigarh,Sector 34,4,480,0.0,25,505,Debit Card,Restaurant App,Delivered,In-house Rider,RD005,9.9,50,57.0,False,4.0,
ORD00982,2026-03-02,2026-03-02 10:02:00,C0179,Restaurant_08,Chandigarh,Manimajra,5,1100,0.0,20,1120,Cash,Website,Delivered,In-house Rider,RD100,3.8,35,28.0,True,4.0,
ORD03826,2026-06-18,2026-06-18 00:17:00,C0754,Restaurant_02,Mohali,Sector 68,1,350,75.0,20,295,Debit Card,Website,Delivered,Ola Logistics,RD038,4.5,45,34.0,True,5.0,
ORD01114,2026-05-15,2026-05-15 19:35:00,C0287,Restaurant_12,Mohali,Phase 5,3,360,50.0,20,330,Wallet,Website,Delivered,In-house Rider,RD147,6.3,45,41.0,True,3.0,
ORD02399,2026-06-20,2026-06-20 17:47:00,C1161,Restaurant_18,Chandigarh,Sector 17,1,320,0.0,40,360,Debit Card,Restaurant App,Delivered,In-house Rider,RD012,5.6,35,36.0,False,5.0,
ORD03134,2026-02-03,2026-02-03 10:34:00,C0024,Restaurant_23,Panchkula,Sector 15,5,750,0.0,50,800,Wallet,Website,Delivered,Ola Logistics,RD095,6.8,45,34.0,True,5.0,
ORD03218,2026-03-07,2026-03-07 21:36:00,C0566,Restaurant_05,Mohali,Sector 68,4,1000,75.0,50,975,Cash,Restaurant App,Cancelled,Not Assigned,Not Assigned,6.1,35,,,,Restaurant Delay
ORD00573,2026-06-23,2026-06-23 21:53:00,C1062,Restaurant_25,Mohali,Sector 68,4,1400,0.0,20,1420,Cash,Website,Delivered,In-house Rider,RD049,2.6,50,15.0,True,4.0,
ORD03550,2026-01-19,2026-01-19 15:17:00,C0090,Restaurant_24,Panchkula,Sector 8,3,540,0.0,50,590,Credit Card,Website,Delivered,In-house Rider,RD020,3.4,30,31.0,False,5.0,
ORD00219,2026-01-31,2026-01-31 15:25:00,C0078,Restaurant_16,Mohali,Phase 5,1,350,0.0,20,370,UPI,Restaurant App,Delivered,Shiprocket,RD069,5.8,40,25.0,True,5.0,
ORD03079,2026-04-07,2026-04-07 09:23:00,C0803,Restaurant_19,Chandigarh,Sector 35,2,360,100.0,40,300,Debit Card,Website,Delivered,In-house Rider,RD001,6.6,45,23.0,True,,
ORD02685,2026-01-15,2026-01-15 11:35:00,C0922,Restaurant_18,Mohali,Sector 68,1,280,50.0,40,270,Credit Card,Website,Delivered,Ola Logistics,RD108,2.6,50,25.0,True,5.0,
ORD03707,2026-03-21,2026-03-21 03:31:00,C0259,Restaurant_03,Panchkula,Sector 11,5,900,20.0,25,905,UPI,Restaurant App,Delivered,In-house Rider,RD091,4.8,30,34.0,False,5.0,
ORD03543,2026-03-08,2026-03-08 04:58:00,C0727,Restaurant_24,Panchkula,Sector 15,2,360,30.0,60,390,Credit Card,Website,Cancelled,Not Assigned,Not Assigned,0.5,45,,,,Customer Cancelled
ORD03288,2026-01-22,2026-01-22 06:11:00,C0569,Restaurant_22,Mohali,Sector 68,5,1600,0.0,20,1620,Credit Card,Restaurant App,Delivered,Shadowfax,RD090,2.0,50,22.0,True,4.0,
ORD01669,2026-06-12,2026-06-12 19:48:00,C0326,Restaurant_12,Panchkula,Sector 15,3,1200,0.0,30,1230,UPI,Website,Delivered,Shiprocket,RD054,7.4,50,28.0,True,5.0,
ORD00853,2026-03-08,2026-03-08 18:14:00,C0675,Restaurant_14,Mohali,Phase 3B2,3,750,100.0,25,675,Debit Card,Restaurant App,Delivered,Shiprocket,RD052,2.1,35,24.0,True,5.0,
ORD02582,2026-05-12,2026-05-12 07:51:00,C0930,Restaurant_23,Chandigarh,Manimajra,4,480,0.0,30,510,UPI,Website,Failed,Not Assigned,Not Assigned,6.4,50,,,,Address Issue
ORD03900,2026-05-18,2026-05-18 06:57:00,C1069,Restaurant_05,Panchkula,Sector 5,3,540,0.0,25,565,Credit Card,Website,Delivered,In-house Rider,RD089,6.4,40,30.0,True,5.0,
